corr,bootstrapped standard deviation,cov
-0.709464288,0.06663018,-0.475057
-0.649437238,0.104740504,-0.452732
-0.647987735,0.103315291,-0.527291
-0.472382302,0.174741083,-0.19772
-0.303870472,0.204301404,0.041757
-0.838821651,0.056752415,-0.55711
0.615625416,0.114053024,0.489896
-0.853984456,0.051309446,-0.589393
-0.354798805,0.134849411,-0.035298
-0.348763142,0.145081827,-0.247472
-0.078265561,0.148062348,0.078958
-0.319828809,0.122661873,-0.257397
-0.653791346,0.079229021,-0.469243
-0.485610649,0.154382695,-0.235737
0.190174481,0.161949256,0.072954
